,attendance_rate,participation_rate
234,0.8,0.7
235,1.0,1.4
236,1.0,0.6
237,0.6,1.6
238,0.9,2.2
239,0.8,0.0
240,0.7,0.0
241,,0.0
242,,0.0
243,,0.0
244,,0.0
245,1.0,0.0
246,,0.0
247,1.0,0.0
248,0.88,0.54
249,0.96,0.0
250,1.0,0.0
251,0.92,0.65
252,0.96,0.23
253,1.0,0.23
254,0.96,0.73
255,1.0,1.92
256,0.96,0.96
257,1.0,0.15
258,0.92,1.0
259,1.0,0.81
260,1.0,0.27
261,0.23,0.0
262,0.77,1.08
263,,0.0
264,,0.0
265,,0.0
266,0.96,0.0
267,0.31,0.0
268,,0.0
269,,0.0
270,,0.0
271,0.73,0.0
272,0.77,0.69
273,0.88,0.0
274,,0.0
275,0.88,1.35
276,0.27,0.0
277,0.77,1.31
278,0.88,0.0
279,0.92,1.58
280,0.92,0.0
281,1.0,0.0
282,0.81,2.85
283,0.96,1.42
284,1.0,0.73
285,0.96,0.0
286,0.54,1.88
287,0.85,2.81
288,1.0,0.46
289,0.77,0.58
290,0.08,0.0
291,0.73,0.0
292,0.35,0.0
293,0.96,0.58
294,0.85,0.0
295,0.85,0.0
296,1.0,1.92
297,0.15,0.0
298,0.96,0.0
299,0.88,0.0
300,0.73,0.0
301,1.0,2.77
302,1.0,0.0
303,0.69,0.0
304,1.0,0.92
305,1.0,2.42
306,0.92,2.27
307,0.88,0.0
308,0.96,0.5
309,0.96,1.54
310,0.58,0.0
311,0.12,0.0
312,0.88,0.0
313,0.96,1.15
314,0.58,1.38
315,,0.0
316,0.96,0.0
317,1.0,1.96
318,1.0,1.04
319,1.0,1.04
320,1.0,1.04
321,1.0,1.04
322,0.88,1.35
323,1.0,0.0
324,0.65,1.27
325,0.77,1.27
326,0.46,0.42
327,0.65,0.0
328,0.88,0.35
329,0.92,0.0
330,0.58,1.12
331,0.88,0.58
332,0.54,0.19
333,0.81,0.27
334,0.85,0.19
335,0.96,0.35
336,0.96,2.54
337,0.73,0.04
338,0.69,0.0
339,0.35,0.0
340,0.77,0.0
341,0.77,0.0
342,0.77,0.19
343,0.12,0.0
344,0.69,0.65
345,0.96,1.92
346,0.65,0.0
347,0.81,1.12
348,0.77,0.0
349,0.85,0.15
350,1.0,0.08
351,0.69,0.04
352,0.69,0.27
353,0.65,0.27
354,0.92,0.15
355,0.77,0.96
356,0.58,0.0
357,0.88,0.0
358,1.0,0.08
359,0.92,0.19
360,0.96,1.35
361,0.31,0.04
362,0.92,2.77
363,0.92,0.0
364,0.85,1.04
365,0.54,0.5
366,0.92,0.0
367,0.92,0.27
368,0.58,0.0
369,0.81,0.0
370,0.96,0.0
371,0.88,0.0
372,0.77,0.08
373,0.92,0.19
374,0.62,0.27
375,0.62,0.0
376,0.88,0.0
377,0.92,0.0
378,0.58,0.62
379,0.81,2.31
380,0.81,0.96
381,1.0,0.0
382,0.92,0.58
383,1.0,0.0
384,0.73,1.27
385,0.92,0.0
386,1.0,3.0
387,0.81,2.12
388,0.54,0.38
389,0.08,0.0
390,0.81,0.27
391,0.81,0.23
392,0.88,0.62
393,0.96,0.35
394,0.85,0.0
395,0.15,2.23
396,0.31,0.88
397,0.77,1.81
398,0.62,0.0
399,0.85,0.0
400,1.0,0.0
401,1.0,0.46
402,0.96,0.12
403,0.65,2.12
404,0.96,0.31
405,0.88,0.38
406,0.96,1.65
407,0.15,1.19
408,0.96,0.15
409,1.0,0.0
410,0.65,0.04
411,1.0,0.0
412,1.0,0.31
413,0.81,0.92
414,0.58,0.0
415,0.81,0.5
416,0.96,0.35
417,0.85,0.08
418,0.65,1.08
419,0.96,0.0
420,0.38,0.0
421,0.73,1.42
422,0.73,1.46
423,0.96,0.12
424,0.96,0.0
425,0.88,0.0
426,0.92,0.0
427,0.92,1.81
428,1.0,1.62
429,0.69,1.15
430,0.85,0.69
431,0.92,2.42
432,0.88,0.69
433,0.65,0.77
434,0.65,2.69
435,0.38,2.08
436,0.88,0.31
437,0.46,0.0
438,0.62,0.0
439,0.69,0.0
440,0.85,0.85
441,0.88,1.77
442,0.85,1.88
443,1.0,1.54
444,0.5,1.54
445,0.73,1.38
446,0.96,0.54
447,1.0,0.46
448,0.96,0.04
449,0.85,0.0
450,0.92,0.46
451,0.92,1.15
452,0.88,1.73
453,0.85,0.0
454,1.0,0.0
455,0.42,0.08
456,1.0,0.15
457,0.73,0.0
458,0.85,0.0
459,0.65,0.0
460,0.88,0.0
461,0.85,0.77
462,,0.0
463,,0.0
464,0.96,1.73
465,0.88,1.15
466,0.92,0.88
467,0.54,2.12
468,0.81,0.0
469,0.62,0.31
470,0.88,1.92
471,0.77,0.92
472,0.96,1.27
473,0.92,0.0
474,1.0,1.88
475,0.69,0.0
476,0.92,0.35
477,0.92,1.5
478,0.85,0.12
479,0.96,0.0
480,0.27,2.08
481,0.46,1.15
482,0.62,1.42
483,0.58,1.5
484,,0.0
485,,0.0
486,,0.0
487,,0.0
488,,0.0
489,,0.0
490,,0.0
491,,0.0
492,,0.0
493,0.71,0.0
494,1.0,1.62
495,0.67,0.86
496,0.9,1.19
497,0.86,0.9
498,1.0,1.62
499,0.95,0.76
500,1.0,0.0
501,1.0,2.38
502,0.9,0.86
503,1.0,0.0
504,1.0,1.76
505,1.0,0.76
506,0.86,0.0
507,,0.0
508,,0.0
509,,0.0
510,,0.0
511,,0.0
512,,0.0
513,,0.0
514,,0.0
515,,0.0
516,,0.0
517,,0.0
518,,0.0
519,0.43,0.9
520,,0.0
521,0.48,1.52
522,0.52,0.1
523,1.0,0.05
524,1.0,1.95
525,0.29,0.24
526,1.0,0.76
527,0.48,1.62
528,0.9,0.81
529,1.0,0.76
530,0.9,0.19
531,1.0,0.29
532,0.81,1.0
533,0.95,0.9
534,0.24,2.43
535,0.57,2.14
536,0.86,0.0
537,1.0,0.48
538,1.0,0.0
539,0.76,0.0
540,0.81,0.14
541,0.95,2.1
542,1.0,0.0
543,0.57,2.0
544,0.52,0.0
545,0.57,0.0
546,0.76,0.29
547,0.95,0.76
548,1.0,1.76
549,0.81,0.33
550,0.76,1.14
551,0.76,0.71
552,0.67,0.38
553,0.81,0.0
554,0.67,0.14
555,0.05,0.0
556,0.33,0.38
557,0.62,0.0
558,0.43,1.95
559,1.0,0.0
560,0.81,0.0
561,0.86,0.0
562,0.67,0.0
563,0.81,2.33
564,0.62,0.0
565,0.86,2.05
566,0.62,0.95
567,0.86,0.76
568,0.95,1.81
569,0.57,0.0
570,1.0,1.81
571,0.9,0.0
572,0.62,2.14
573,0.62,0.0
574,0.57,1.86
575,0.52,1.19
576,1.0,2.0
577,1.0,0.48
578,0.9,1.76
579,0.29,1.71
580,0.81,0.0
581,0.05,0.0
582,0.76,0.0
583,0.81,0.0
584,0.86,0.95
585,0.1,0.38
586,0.95,0.0
587,0.71,0.76
588,0.38,0.29
589,0.62,1.95
590,0.71,1.76
591,0.62,0.0
592,0.76,0.0
593,0.9,0.0
594,0.95,1.81
595,0.71,0.0
596,0.62,0.0
597,0.71,1.95
598,0.38,0.0
599,0.62,0.0
600,0.62,1.86
601,0.9,0.1
602,0.38,0.1
603,0.57,0.0
604,0.71,0.0
605,0.95,2.33
606,0.81,0.0
607,0.71,0.0
608,0.81,0.0
609,0.9,0.0
610,0.48,1.14
611,0.9,1.38
612,0.81,0.29
613,0.81,0.29
614,0.95,0.0
615,0.81,0.67
616,0.71,1.0
617,1.0,0.0
618,1.0,0.0
619,0.86,0.14
620,0.95,0.0
621,1.0,1.29
622,0.9,1.9
623,0.86,0.0
624,0.9,0.86
625,0.9,0.0
626,0.81,1.67
627,0.95,1.24
628,0.95,1.81
629,0.76,0.0
630,0.95,2.05
631,1.0,1.52
632,0.9,1.24
633,1.0,0.0
634,0.81,0.0
635,0.62,0.0
636,0.62,1.43
637,1.0,0.14
638,1.0,1.86
639,0.9,1.1
640,1.0,1.05
641,0.95,0.0
642,0.48,0.33
643,0.76,0.0
644,0.95,1.71
645,0.95,0.0
646,0.38,1.33
647,0.95,2.14
648,1.0,0.62
649,1.0,1.0
650,0.76,1.86
651,0.62,0.52
652,0.95,2.05
653,0.86,2.14
654,0.81,2.0
655,1.0,1.0
656,0.86,1.24
657,1.0,0.0
658,0.9,0.0
659,0.9,0.0
660,0.9,0.38
661,0.9,0.29
662,0.81,0.0
663,1.0,0.0
664,1.0,1.48
665,0.9,1.86
666,0.9,0.24
667,0.86,0.0
668,1.0,0.0
669,0.9,0.38
670,0.76,1.24
671,0.81,0.0
672,1.0,0.0
673,0.71,1.9
674,0.9,0.0
675,0.95,0.95
676,0.33,2.1
677,0.71,0.0
678,0.52,0.81
679,0.86,0.81
680,1.0,0.86
681,1.0,1.24
682,0.9,2.05
683,1.0,0.76
684,0.95,1.24
685,0.86,0.0
686,0.95,1.33
687,1.0,0.0
688,0.95,0.62
689,1.0,1.24
690,1.0,0.0
691,0.76,1.52
692,0.95,1.33
693,0.67,1.86
694,0.76,2.1
695,0.71,1.38
696,0.95,0.0
697,0.81,2.0
698,0.62,0.0
699,0.81,0.1
700,1.0,0.0
701,0.81,0.24
702,0.86,2.19
703,1.0,1.67
704,1.0,0.0
705,1.0,2.33
706,,0.0
707,,0.0
708,0.9,0.0
709,1.0,1.81
710,0.48,0.0
711,0.9,0.71
712,1.0,0.24
713,0.52,0.0
714,0.71,2.14
715,0.9,0.0
716,0.67,2.0
717,0.95,1.52
718,1.0,1.9
719,1.0,0.0
720,1.0,1.29
721,0.71,0.0
722,0.9,1.48
723,0.76,1.52
724,0.81,2.24
725,1.0,2.19
726,,0.0
727,0.05,0.0
728,0.05,0.0
729,1.0,0.0
730,1.0,0.0
731,0.05,0.0
732,0.05,0.14
733,0.05,0.0
734,0.91,0.0
735,0.91,0.0
736,0.05,0.14
737,0.95,1.86
738,0.95,1.86
739,0.95,0.82
740,0.95,0.82
741,,0.0
742,,0.0
743,,0.0
744,,0.0
745,0.18,0.0
746,,0.0
747,,0.0
748,,0.0
749,,0.0
750,0.36,1.77
751,1.0,0.0
752,0.95,2.0
753,0.86,1.14
754,1.0,1.77
755,0.73,0.0
756,1.0,0.86
757,0.95,0.0
758,0.86,0.86
759,1.0,0.0
760,1.0,0.18
761,0.59,0.5
762,0.95,0.05
763,0.95,0.18
764,0.14,0.0
765,0.77,2.0
766,0.86,0.32
767,,0.0
768,,0.0
769,,0.0
770,,0.0
771,,0.0
772,,0.0
773,,0.0
774,,0.0
775,,0.0
776,1.0,1.18
777,0.95,0.23
778,0.73,0.82
779,,0.0
780,0.82,2.05
781,0.95,0.0
782,1.0,1.91
783,1.0,0.55
784,0.73,2.0
785,0.91,0.82
786,1.0,0.86
787,0.55,1.95
788,0.23,0.05
789,1.0,0.86
790,0.82,1.14
791,0.59,2.09
792,0.32,2.41
793,0.86,1.5
794,1.0,0.0
795,0.95,2.23
796,1.0,0.86
797,1.0,0.36
798,0.64,0.0
799,0.82,1.32
800,0.59,0.73
801,0.73,0.5
802,0.91,0.86
803,1.0,0.0
804,1.0,1.14
805,1.0,1.82
806,0.82,0.0
807,0.95,1.45
808,0.77,0.91
809,0.64,1.91
810,0.68,1.36
811,0.68,0.18
812,1.0,0.27
813,0.91,0.0
814,0.95,0.86
815,0.68,0.0
816,0.23,0.0
817,0.91,0.0
818,0.77,0.0
819,0.86,1.86
820,0.55,0.0
821,0.68,1.05
822,0.91,0.0
823,0.95,0.45
824,0.91,1.27
825,1.0,0.0
826,0.91,0.0
827,1.0,1.41
828,0.77,1.64
829,0.91,2.0
830,1.0,2.09
831,1.0,0.0
832,1.0,1.64
833,1.0,1.55
834,0.86,0.18
835,0.95,0.0
836,0.05,0.0
837,0.95,0.0
838,0.64,0.0
839,0.73,0.0
840,0.14,0.0
841,0.32,0.45
842,0.45,0.0
843,0.64,2.18
844,0.23,0.0
845,0.86,0.91
846,0.86,0.09
847,0.82,0.0
848,0.91,0.09
849,0.95,0.0
850,0.59,0.0
851,0.73,0.77
852,0.77,0.14
853,0.91,1.64
854,0.91,1.64
855,0.91,1.64
856,0.27,0.0
857,0.82,1.45
858,0.68,2.05
859,0.59,2.09
860,0.86,0.0
861,0.68,1.41
862,0.95,0.73
863,0.95,0.0
864,0.95,0.0
865,0.86,0.0
866,1.0,0.0
867,0.95,1.73
868,1.0,1.09
869,0.82,0.32
870,0.95,1.59
871,0.86,0.0
872,0.95,0.5
873,0.95,0.77
874,0.82,0.0
875,1.0,2.09
876,0.95,0.5
877,0.59,0.18
878,0.95,1.59
879,1.0,1.09
880,0.91,0.0
881,0.14,1.36
882,0.77,0.27
883,0.95,1.23
884,0.86,0.0
885,0.91,1.86
886,0.86,1.14
887,1.0,1.14
888,1.0,1.91
889,0.59,1.36
890,0.95,0.14
891,0.73,0.45
892,1.0,0.41
893,0.68,0.0
894,0.95,2.18
895,0.95,1.23
896,1.0,1.09
897,0.86,0.5
898,0.82,0.0
899,1.0,1.55
900,1.0,1.91
901,0.86,0.91
902,0.73,1.59
903,0.86,0.0
904,0.91,0.32
905,0.86,0.14
906,0.86,0.0
907,0.86,0.0
908,1.0,1.0
909,1.0,1.0
910,1.0,0.0
911,1.0,0.0
912,1.0,0.36
913,0.23,0.0
914,0.82,0.0
915,0.95,0.0
916,0.59,1.0
917,0.82,0.86
918,0.82,0.64
919,1.0,0.0
920,0.95,1.95
921,0.68,2.05
922,0.73,0.05
923,0.09,0.0
924,0.64,0.0
925,0.91,0.0
926,0.95,0.73
927,0.77,0.0
928,0.77,0.0
929,0.86,0.64
930,0.86,0.64
931,0.91,0.23
932,0.32,0.0
933,0.82,0.0
934,0.91,1.05
935,0.73,0.36
936,0.27,0.0
937,1.0,0.27
938,1.0,0.86
939,1.0,0.0
940,0.95,1.14
941,0.91,1.5
942,1.0,2.14
943,0.95,1.86
944,0.82,0.0
945,0.95,1.09
946,0.82,1.27
947,1.0,0.0
948,1.0,1.09
949,1.0,1.59
950,0.77,0.77
951,0.55,2.09
952,0.86,2.0
953,0.59,0.5
954,0.18,0.0
955,0.77,0.18
956,0.95,1.55
957,0.91,0.23
958,1.0,1.73
959,0.95,0.23
960,0.55,0.68
961,1.0,2.05
962,0.77,0.0
963,1.0,1.5
964,,0.0
965,,0.0
966,0.91,0.0
967,0.68,1.73
968,0.86,1.09
969,0.73,0.0
970,0.59,0.0
971,0.41,0.0
972,0.64,1.95
973,0.91,0.0
974,0.82,0.0
975,0.45,0.0
976,1.0,0.0
977,0.86,0.64
978,0.68,2.05
979,0.91,0.0
980,1.0,1.68
981,1.0,0.91
982,0.95,0.95
983,0.32,0.0
984,0.86,1.05
985,0.41,1.32
986,1.0,2.23
987,,0.0
988,1.0,0.0
989,1.0,0.0
990,1.0,0.0
991,,0.0
992,,0.0
993,,0.0
994,,0.0
995,,0.0
996,,0.0
997,1.0,0.0
998,1.0,0.0
999,1.0,0.0
1000,1.0,0.0
1001,1.0,0.0
1002,0.75,0.0
1003,1.0,0.0
1004,1.0,0.0
1005,1.0,0.0
1006,0.5,0.0
1007,0.5,0.0
1008,1.0,0.0
1009,1.0,0.0
1010,0.25,0.0
1011,,0.0
1012,1.0,0.0
1013,0.75,0.0
1014,,0.0
1015,1.0,0.0
1016,1.0,0.0
1017,0.75,0.0
1018,,0.0
1019,0.75,0.0
1020,,0.0
1021,1.0,0.0
1022,,0.0
1023,1.0,0.0
1024,1.0,0.0
1025,1.0,0.0
1026,0.5,0.0
1027,1.0,0.0
1028,1.0,0.0
1029,1.0,0.0
1030,1.0,0.0
1031,1.0,0.0
1032,1.0,0.0
1033,1.0,0.0
1034,1.0,0.0
1035,1.0,0.0
1036,1.0,0.0
1037,1.0,0.0
1038,1.0,0.0
1039,1.0,0.0
1040,0.25,0.0
1041,1.0,0.0
1042,1.0,0.0
1043,1.0,0.0
1044,1.0,0.0
1045,1.0,0.0
1046,0.75,0.0
1047,1.0,0.0
1048,1.0,0.0
1049,1.0,0.0
1050,0.75,0.0
1051,1.0,0.0
1052,1.0,0.0
1053,0.5,0.0
1054,1.0,0.0
1055,1.0,0.0
1056,1.0,0.0
1057,0.75,0.0
1058,,0.0
1059,1.0,0.0
1060,1.0,0.0
1061,0.75,0.0
1062,,0.0
1063,1.0,0.0
1064,0.75,0.0
1065,0.75,0.0
1066,1.0,0.0
1067,1.0,0.0
1068,1.0,0.0
1069,0.25,0.0
1070,1.0,0.0
1071,1.0,0.0
1072,0.5,0.0
1073,1.0,0.0
1074,0.75,0.0
1075,1.0,0.0
1076,0.5,0.0
1077,1.0,0.0
1078,1.0,0.0
1079,0.25,0.0
1080,1.0,0.0
1081,0.5,0.0
1082,1.0,0.0
1083,0.75,0.0
1084,1.0,0.0
1085,1.0,0.0
1086,1.0,0.0
1087,1.0,0.0
1088,1.0,0.0
1089,1.0,0.0
1090,1.0,0.0
1091,1.0,0.0
1092,0.75,0.0
1093,1.0,0.0
1094,1.0,0.0
1095,1.0,0.0
1096,1.0,0.0
1097,1.0,0.0
1098,1.0,0.0
1099,1.0,0.0
1100,0.75,0.0
1101,0.75,0.0
1102,1.0,0.0
1103,0.5,0.0
1104,1.0,0.0
1105,1.0,0.0
1106,1.0,0.0
1107,0.5,0.0
1108,1.0,0.0
1109,1.0,0.0
1110,0.75,0.0
1111,1.0,0.0
1112,0.25,0.0
1113,1.0,0.0
1114,0.25,0.0
1115,0.75,0.0
1116,1.0,0.0
1117,0.75,0.0
1118,1.0,0.0
1119,0.75,0.0
1120,1.0,0.0
1121,1.0,0.0
1122,1.0,0.0
1123,1.0,0.0
1124,1.0,0.0
1125,1.0,0.0
1126,0.25,0.0
1127,0.5,0.0
1128,0.25,0.0
1129,1.0,0.0
1130,1.0,0.0
1131,1.0,0.0
1132,0.5,0.0
1133,1.0,0.0
1134,1.0,0.0
1135,1.0,0.0
1136,1.0,0.0
1137,1.0,0.0
1138,0.75,0.0
1139,1.0,0.0
1140,1.0,0.0
1141,1.0,0.0
1142,0.5,0.0
1143,0.75,0.0
1144,1.0,0.0
1145,1.0,0.0
1146,0.25,0.0
1147,1.0,0.0
1148,1.0,0.0
1149,1.0,0.0
1150,0.75,0.0
1151,0.75,0.0
1152,1.0,0.0
1153,1.0,0.0
1154,0.25,0.0
1155,1.0,0.0
1156,0.5,0.0
1157,0.75,0.0
1158,1.0,0.0
1159,1.0,0.0
1160,1.0,0.0
1161,1.0,0.0
1162,0.75,0.0
1163,0.75,0.0
1164,1.0,0.0
1165,1.0,0.0
1166,0.75,0.0
1167,1.0,0.0
1168,0.75,0.0
1169,1.0,0.0
1170,1.0,0.0
1171,1.0,0.0
1172,0.75,0.0
1173,0.5,0.0
1174,1.0,0.0
1175,1.0,0.0
1176,1.0,0.0
1177,1.0,0.0
1178,1.0,0.0
1179,1.0,0.0
1180,0.75,0.0
1181,1.0,0.0
1182,1.0,0.0
1183,0.75,0.0
1184,0.75,0.0
1185,1.0,0.0
1186,1.0,0.0
1187,,0.0
1188,1.0,0.0
1189,1.0,0.0
1190,0.5,0.0
1191,1.0,0.0
1192,1.0,0.0
1193,1.0,0.0
1194,0.75,0.0
1195,1.0,0.0
1196,0.75,0.0
1197,1.0,0.0
1198,0.75,0.0
1199,0.75,0.0
1200,0.75,0.0
1201,1.0,0.0
1202,1.0,0.0
1203,1.0,0.0
1204,0.75,0.0
1205,1.0,0.0
1206,1.0,0.0
1207,,0.0
1208,0.48,0.0
1209,,0.0
1210,,0.0
1211,,0.0
1212,,0.0
1213,,0.0
1214,1.0,0.39
1215,0.96,0.35
1216,0.91,0.0
1217,1.0,0.0
1218,0.7,0.48
1219,0.91,0.0
1220,0.96,0.0
1221,0.48,0.74
1222,0.87,2.13
1223,0.83,0.3
1224,1.0,0.43
1225,0.91,1.0
1226,0.87,0.26
1227,0.96,1.96
1228,0.26,0.0
1229,0.78,0.0
1230,,0.0
1231,,0.0
1232,,0.0
1233,0.87,0.0
1234,0.26,0.0
1235,,0.0
1236,,0.0
1237,,0.0
1238,0.35,0.0
1239,0.96,0.48
1240,0.65,0.0
1241,,0.0
1242,0.43,0.78
1243,0.61,2.09
1244,0.61,1.26
1245,0.74,0.0
1246,0.96,1.57
1247,0.91,0.0
1248,1.0,0.0
1249,0.61,2.57
1250,0.91,1.35
1251,1.0,0.91
1252,0.78,0.0
1253,0.52,1.96
1254,0.7,2.13
1255,1.0,1.22
1256,0.74,0.09
1257,0.87,0.0
1258,0.7,0.0
1259,0.39,0.0
1260,0.91,0.0
1261,0.83,0.0
1262,0.83,0.04
1263,0.96,0.96
1264,0.52,0.0
1265,0.87,0.0
1266,0.57,0.0
1267,0.26,0.0
1268,0.96,2.74
1269,0.91,0.0
1270,0.26,0.0
1271,0.96,1.43
1272,1.0,2.52
1273,0.61,2.09
1274,0.3,0.0
1275,0.48,1.39
1276,0.7,2.17
1277,0.3,0.0
1278,0.13,0.0
1279,0.87,0.0
1280,1.0,1.48
1281,0.87,1.43
1282,,0.0
1283,0.91,0.0
1284,1.0,1.91
1285,1.0,1.78
1286,1.0,1.78
1287,1.0,1.78
1288,1.0,1.78
1289,0.87,1.43
1290,1.0,0.0
1291,0.57,1.91
1292,0.65,2.26
1293,0.65,1.48
1294,0.83,0.0
1295,0.61,0.26
1296,0.52,0.0
1297,0.52,1.65
1298,0.87,1.13
1299,1.0,1.35
1300,0.65,0.61
1301,0.83,0.74
1302,1.0,0.22
1303,0.83,2.57
1304,0.65,0.04
1305,0.52,0.0
1306,0.3,0.0
1307,0.57,0.0
1308,0.83,0.0
1309,0.17,0.96
1310,0.52,0.3
1311,0.7,2.48
1312,0.83,0.57
1313,0.74,2.35
1314,0.3,0.0
1315,0.96,0.0
1316,0.39,0.39
1317,0.35,0.52
1318,0.83,0.0
1319,0.52,0.17
1320,0.7,2.52
1321,0.83,0.0
1322,0.74,0.91
1323,0.83,0.74
1324,0.96,0.52
1325,0.52,0.0
1326,1.0,1.83
1327,0.43,0.0
1328,1.0,2.39
1329,0.87,0.17
1330,0.43,0.39
1331,0.57,0.0
1332,0.78,0.0
1333,0.87,0.78
1334,0.74,0.0
1335,0.52,0.0
1336,0.96,0.0
1337,0.96,0.0
1338,0.96,0.57
1339,0.87,0.48
1340,0.43,0.0
1341,0.39,0.52
1342,0.78,0.0
1343,0.74,0.0
1344,0.7,0.7
1345,0.78,2.65
1346,0.78,0.91
1347,0.83,0.0
1348,0.26,0.96
1349,1.0,0.0
1350,0.48,1.13
1351,0.91,0.0
1352,0.96,2.57
1353,0.91,2.13
1354,0.61,0.35
1355,1.0,0.0
1356,0.35,2.09
1357,0.52,0.0
1358,0.61,0.83
1359,0.96,0.17
1360,0.26,2.09
1361,0.13,0.78
1362,0.61,1.87
1363,0.26,0.0
1364,0.04,0.0
1365,0.91,1.61
1366,1.0,0.0
1367,0.87,0.13
1368,0.39,1.65
1369,0.26,0.0
1370,0.87,1.26
1371,0.87,1.43
1372,0.3,0.87
1373,0.83,0.0
1374,1.0,0.0
1375,0.43,0.0
1376,0.91,0.0
1377,0.83,1.83
1378,0.39,0.0
1379,0.61,0.0
1380,0.61,0.09
1381,0.91,0.83
1382,0.83,0.09
1383,0.17,1.39
1384,0.87,0.0
1385,0.39,0.0
1386,0.61,0.87
1387,0.3,1.57
1388,0.91,0.39
1389,1.0,0.13
